20210606 18:05:47
Origin HIRO AntMaze Exp
/media/lsf/5061349a-a747-49ba-b5f5-c1a943b93242/anaconda3/envs/safe-mujoco/lib/python3.7/site-packages/gym/logger.py:30: UserWarning: [33mWARN: Box bound precision lowered by casting to float32[0m
  warnings.warn(colorize('%s: %s'%('WARN', msg % args), 'yellow'))
Goal, Curr: (0.00, 16.00, 0.50, 0.14)     Error:15.87
Goal, Curr: (0.00, 16.00, 0.60, -0.06)     Error:16.07
Goal, Curr: (0.00, 16.00, 0.31, 0.02)     Error:15.98
Goal, Curr: (0.00, 16.00, 0.61, -0.05)     Error:16.06
episode:00750, mean:-7999.19, std:61.15, median:-7997.84, success:0.00
Epoch: 760 Reward: -11340.015 Time consuming: 43
Epoch: 770 Reward: -9282.816 Time consuming: 37
Epoch: 780 Reward: -2448.782 Time consuming: 38
Epoch: 790 Reward: -1365.466 Time consuming: 38
Epoch: 800 Reward: -4659.456 Time consuming: 38
Epoch: 810 Reward: -13096.450 Time consuming: 37
Epoch: 820 Reward: -10644.792 Time consuming: 38
Epoch: 830 Reward: -9441.792 Time consuming: 38
Epoch: 840 Reward: -3986.910 Time consuming: 37
Epoch: 850 Reward: -11452.671 Time consuming: 38
Epoch: 860 Reward: -5592.408 Time consuming: 38
Epoch: 870 Reward: -8420.180 Time consuming: 38
Epoch: 880 Reward: -9042.950 Time consuming: 37
Epoch: 890 Reward: -2012.968 Time consuming: 38
Epoch: 900 Reward: -6907.338 Time consuming: 39
Epoch: 910 Reward: -4233.758 Time consuming: 40
Epoch: 920 Reward: -9486.978 Time consuming: 38
Epoch: 930 Reward: -7171.255 Time consuming: 37
Epoch: 940 Reward: -1458.034 Time consuming: 38
Epoch: 950 Reward: -2653.529 Time consuming: 38
Epoch: 960 Reward: -8799.566 Time consuming: 38
Epoch: 970 Reward: -2377.710 Time consuming: 38
Epoch: 980 Reward: -4014.648 Time consuming: 38
Epoch: 990 Reward: -11269.178 Time consuming: 38
Epoch: 1000 Reward: -1875.865 Time consuming: 38
Goal, Curr: (0.00, 16.00, 0.32, -0.27)     Error:16.27
Goal, Curr: (0.00, 16.00, 0.04, -0.39)     Error:16.39
Goal, Curr: (0.00, 16.00, 0.19, -0.10)     Error:16.10
Goal, Curr: (0.00, 16.00, 0.11, -0.33)     Error:16.33
Goal, Curr: (0.00, 16.00, 0.13, -0.32)     Error:16.32
Goal, Curr: (0.00, 16.00, -0.11, -0.21)     Error:16.21
Goal, Curr: (0.00, 16.00, 0.03, -0.26)     Error:16.26
Goal, Curr: (0.00, 16.00, 0.14, -0.21)     Error:16.21
Goal, Curr: (0.00, 16.00, 0.09, -0.14)     Error:16.14
Goal, Curr: (0.00, 16.00, -0.03, -0.35)     Error:16.35
episode:01000, mean:-8048.36, std:43.57, median:-8051.01, success:0.00
Epoch: 1010 Reward: -3112.216 Time consuming: 43
Epoch: 1020 Reward: -9848.387 Time consuming: 38
Epoch: 1030 Reward: -2603.040 Time consuming: 37
Epoch: 1040 Reward: -8223.524 Time consuming: 38
Epoch: 1050 Reward: -8618.879 Time consuming: 38
Epoch: 1060 Reward: -3346.072 Time consuming: 38
Epoch: 1070 Reward: -6587.708 Time consuming: 38
Epoch: 1080 Reward: -9589.743 Time consuming: 37
Epoch: 1090 Reward: -7205.126 Time consuming: 38
Epoch: 1100 Reward: -10423.668 Time consuming: 38
Epoch: 1110 Reward: -4933.956 Time consuming: 38
Epoch: 1120 Reward: -10152.594 Time consuming: 37
Epoch: 1130 Reward: -8198.816 Time consuming: 38
Epoch: 1140 Reward: -9397.654 Time consuming: 38
Epoch: 1150 Reward: -5660.653 Time consuming: 38
Epoch: 1160 Reward: -3247.678 Time consuming: 38
Epoch: 1170 Reward: -6423.374 Time consuming: 37
Epoch: 1180 Reward: -1122.956 Time consuming: 38
Epoch: 1190 Reward: -1322.216 Time consuming: 38
Epoch: 1200 Reward: -6926.135 Time consuming: 38
Epoch: 1210 Reward: -7113.433 Time consuming: 37
Epoch: 1220 Reward: -8551.525 Time consuming: 37
Epoch: 1230 Reward: -8467.645 Time consuming: 38
Epoch: 1240 Reward: -3700.986 Time consuming: 38
Epoch: 1250 Reward: -12231.972 Time consuming: 38
Goal, Curr: (0.00, 16.00, 1.58, 0.85)     Error:15.23
Goal, Curr: (0.00, 16.00, -0.28, 0.52)     Error:15.48
Goal, Curr: (0.00, 16.00, -0.61, 1.87)     Error:14.14
Goal, Curr: (0.00, 16.00, 0.50, 1.13)     Error:14.88
Goal, Curr: (0.00, 16.00, -0.34, 0.06)     Error:15.94
Goal, Curr: (0.00, 16.00, 0.33, 1.22)     Error:14.79
Goal, Curr: (0.00, 16.00, 0.01, 0.66)     Error:15.34
Goal, Curr: (0.00, 16.00, -0.23, 0.17)     Error:15.83
Goal, Curr: (0.00, 16.00, 1.42, 0.53)     Error:15.54
Goal, Curr: (0.00, 16.00, 1.30, 1.69)     Error:14.37
episode:01250, mean:-7619.40, std:254.78, median:-7640.86, success:0.00
Epoch: 1260 Reward: -3892.900 Time consuming: 43
Epoch: 1270 Reward: -1076.589 Time consuming: 38
Epoch: 1280 Reward: -7123.105 Time consuming: 38
Epoch: 1290 Reward: -6853.776 Time consuming: 37
Epoch: 1300 Reward: -6993.401 Time consuming: 38
Epoch: 1310 Reward: -4705.796 Time consuming: 38
Epoch: 1320 Reward: -7355.753 Time consuming: 38
Epoch: 1330 Reward: -1236.741 Time consuming: 38
Epoch: 1340 Reward: -2014.614 Time consuming: 38
Epoch: 1350 Reward: -5970.559 Time consuming: 38
Epoch: 1360 Reward: -4665.391 Time consuming: 38
Epoch: 1370 Reward: -4206.346 Time consuming: 38
Epoch: 1380 Reward: -7026.851 Time consuming: 38
Epoch: 1390 Reward: -2333.917 Time consuming: 38
Epoch: 1400 Reward: -3464.678 Time consuming: 38
Epoch: 1410 Reward: -4123.341 Time consuming: 38
Epoch: 1420 Reward: -1238.912 Time consuming: 38
Epoch: 1430 Reward: -6718.639 Time consuming: 38
Epoch: 1440 Reward: -7954.833 Time consuming: 38
Epoch: 1450 Reward: -5888.436 Time consuming: 38
Epoch: 1460 Reward: -9370.887 Time consuming: 38
Epoch: 1470 Reward: -8011.851 Time consuming: 38
Epoch: 1480 Reward: -7037.229 Time consuming: 38
Epoch: 1490 Reward: -6384.977 Time consuming: 38
Epoch: 1500 Reward: -4788.068 Time consuming: 38
Goal, Curr: (0.00, 16.00, 3.54, 2.21)     Error:14.23
Goal, Curr: (0.00, 16.00, 0.55, 1.02)     Error:14.99
Goal, Curr: (0.00, 16.00, 1.27, 2.41)     Error:13.65
Goal, Curr: (0.00, 16.00, 2.05, 2.72)     Error:13.44
Goal, Curr: (0.00, 16.00, 2.54, 2.51)     Error:13.72
Goal, Curr: (0.00, 16.00, 3.60, 2.44)     Error:14.03
Goal, Curr: (0.00, 16.00, 0.78, -0.89)     Error:16.91
Goal, Curr: (0.00, 16.00, 0.00, 2.33)     Error:13.67
Goal, Curr: (0.00, 16.00, 5.64, -1.32)     Error:18.21
Goal, Curr: (0.00, 16.00, 0.71, 1.50)     Error:14.51
episode:01500, mean:-7411.89, std:693.26, median:-7141.38, success:0.00
Epoch: 1510 Reward: -6008.337 Time consuming: 44
Epoch: 1520 Reward: -12017.649 Time consuming: 38
Epoch: 1530 Reward: -8718.675 Time consuming: 39
Epoch: 1540 Reward: -7275.617 Time consuming: 38
Epoch: 1550 Reward: -2691.109 Time consuming: 38
Epoch: 1560 Reward: -5216.912 Time consuming: 38
Epoch: 1570 Reward: -8612.640 Time consuming: 38
Epoch: 1580 Reward: -12339.261 Time consuming: 38
Epoch: 1590 Reward: -713.600 Time consuming: 38
Epoch: 1600 Reward: -1981.141 Time consuming: 38
Epoch: 1610 Reward: -5220.308 Time consuming: 38
Epoch: 1620 Reward: -3088.380 Time consuming: 38
Epoch: 1630 Reward: -2999.524 Time consuming: 38
Epoch: 1640 Reward: -12943.308 Time consuming: 38
Epoch: 1650 Reward: -7162.756 Time consuming: 38
Epoch: 1660 Reward: -9204.512 Time consuming: 38
Epoch: 1670 Reward: -8469.160 Time consuming: 38
Epoch: 1680 Reward: -2018.330 Time consuming: 38
Epoch: 1690 Reward: -3291.418 Time consuming: 38
Epoch: 1700 Reward: -8684.298 Time consuming: 38
Epoch: 1710 Reward: -10391.558 Time consuming: 38
Epoch: 1720 Reward: -6927.040 Time consuming: 38
Epoch: 1730 Reward: -11049.330 Time consuming: 38
Epoch: 1740 Reward: -2738.568 Time consuming: 38
Epoch: 1750 Reward: -2893.836 Time consuming: 38
Goal, Curr: (0.00, 16.00, 4.25, 2.57)     Error:14.09
Goal, Curr: (0.00, 16.00, 8.00, 1.55)     Error:16.51
Goal, Curr: (0.00, 16.00, 2.11, 1.70)     Error:14.45
Goal, Curr: (0.00, 16.00, 4.26, 2.92)     Error:13.75
Goal, Curr: (0.00, 16.00, 2.34, 2.76)     Error:13.44
Goal, Curr: (0.00, 16.00, 4.64, 1.20)     Error:15.52
Goal, Curr: (0.00, 16.00, 4.95, 2.81)     Error:14.09
Goal, Curr: (0.00, 16.00, 2.10, -1.99)     Error:18.12
Goal, Curr: (0.00, 16.00, 6.18, 1.52)     Error:15.75
Goal, Curr: (0.00, 16.00, 2.33, 2.36)     Error:13.84
episode:01750, mean:-7500.95, std:666.82, median:-7188.65, success:0.00
Epoch: 1760 Reward: -1219.821 Time consuming: 43
Epoch: 1770 Reward: -2962.187 Time consuming: 38
Epoch: 1780 Reward: -2462.034 Time consuming: 38
Epoch: 1790 Reward: -8125.116 Time consuming: 37
Epoch: 1800 Reward: -7768.468 Time consuming: 38
Epoch: 1810 Reward: -2295.619 Time consuming: 38
Epoch: 1820 Reward: -2575.879 Time consuming: 38
Epoch: 1830 Reward: -11403.209 Time consuming: 37
Epoch: 1840 Reward: -9362.596 Time consuming: 38
Epoch: 1850 Reward: -6529.569 Time consuming: 38
Epoch: 1860 Reward: -3375.689 Time consuming: 38
Epoch: 1870 Reward: -4763.364 Time consuming: 38
Epoch: 1880 Reward: -7492.520 Time consuming: 38
Epoch: 1890 Reward: -5067.927 Time consuming: 38
Epoch: 1900 Reward: -9663.627 Time consuming: 38
Epoch: 1910 Reward: -7459.555 Time consuming: 38
Epoch: 1920 Reward: -4060.329 Time consuming: 38
Epoch: 1930 Reward: -10760.763 Time consuming: 38
Epoch: 1940 Reward: -10419.040 Time consuming: 38
