20210606 18:05:47
Origin HIRO AntPush Exp
/media/lsf/5061349a-a747-49ba-b5f5-c1a943b93242/anaconda3/envs/safe-mujoco/lib/python3.7/site-packages/gym/logger.py:30: UserWarning: [33mWARN: Box bound precision lowered by casting to float32[0m
  warnings.warn(colorize('%s: %s'%('WARN', msg % args), 'yellow'))
Goal, Curr: (0.00, 19.00, 1.39, 0.33)     Error:18.72
Goal, Curr: (0.00, 19.00, 1.26, 0.05)     Error:18.99
Goal, Curr: (0.00, 19.00, -0.26, 0.41)     Error:18.59
Goal, Curr: (0.00, 19.00, 0.02, 0.28)     Error:18.72
episode:00750, mean:-9324.57, std:133.91, median:-9337.32, success:0.00
Epoch: 760 Reward: -9404.127 Time consuming: 45
Epoch: 770 Reward: -9585.439 Time consuming: 39
Epoch: 780 Reward: -9749.816 Time consuming: 38
Epoch: 790 Reward: -9444.540 Time consuming: 38
Epoch: 800 Reward: -9477.377 Time consuming: 39
Epoch: 810 Reward: -9378.039 Time consuming: 38
Epoch: 820 Reward: -9078.791 Time consuming: 38
Epoch: 830 Reward: -9502.750 Time consuming: 39
Epoch: 840 Reward: -9254.689 Time consuming: 39
Epoch: 850 Reward: -9561.647 Time consuming: 38
Epoch: 860 Reward: -9226.438 Time consuming: 38
Epoch: 870 Reward: -9183.014 Time consuming: 39
Epoch: 880 Reward: -9484.708 Time consuming: 41
Epoch: 890 Reward: -9445.931 Time consuming: 41
Epoch: 900 Reward: -9207.093 Time consuming: 39
Epoch: 910 Reward: -9434.233 Time consuming: 38
Epoch: 920 Reward: -9461.478 Time consuming: 38
Epoch: 930 Reward: -9525.191 Time consuming: 39
Epoch: 940 Reward: -8855.035 Time consuming: 38
Epoch: 950 Reward: -9442.677 Time consuming: 39
Epoch: 960 Reward: -9334.789 Time consuming: 39
Epoch: 970 Reward: -9567.463 Time consuming: 39
Epoch: 980 Reward: -9520.262 Time consuming: 38
Epoch: 990 Reward: -9608.838 Time consuming: 38
Epoch: 1000 Reward: -9503.655 Time consuming: 38
Goal, Curr: (0.00, 19.00, -0.86, 0.48)     Error:18.54
Goal, Curr: (0.00, 19.00, -0.09, -0.08)     Error:19.08
Goal, Curr: (0.00, 19.00, -0.21, -0.03)     Error:19.03
Goal, Curr: (0.00, 19.00, -0.52, -0.09)     Error:19.10
Goal, Curr: (0.00, 19.00, -0.63, 0.11)     Error:18.90
Goal, Curr: (0.00, 19.00, -0.46, 0.00)     Error:19.00
Goal, Curr: (0.00, 19.00, -0.66, 0.06)     Error:18.96
Goal, Curr: (0.00, 19.00, -0.20, 0.14)     Error:18.86
Goal, Curr: (0.00, 19.00, -0.29, 0.14)     Error:18.87
Goal, Curr: (0.00, 19.00, -0.59, 0.04)     Error:18.97
episode:01000, mean:-9434.04, std:64.81, median:-9441.55, success:0.00
Epoch: 1010 Reward: -9731.915 Time consuming: 44
Epoch: 1020 Reward: -9565.473 Time consuming: 39
Epoch: 1030 Reward: -9600.958 Time consuming: 39
Epoch: 1040 Reward: -9573.989 Time consuming: 39
Epoch: 1050 Reward: -9532.760 Time consuming: 39
Epoch: 1060 Reward: -9758.272 Time consuming: 39
Epoch: 1070 Reward: -9261.009 Time consuming: 39
Epoch: 1080 Reward: -9633.675 Time consuming: 39
Epoch: 1090 Reward: -9313.197 Time consuming: 38
Epoch: 1100 Reward: -9327.422 Time consuming: 39
Epoch: 1110 Reward: -9550.919 Time consuming: 39
Epoch: 1120 Reward: -9862.772 Time consuming: 39
Epoch: 1130 Reward: -9611.584 Time consuming: 39
Epoch: 1140 Reward: -9569.850 Time consuming: 39
Epoch: 1150 Reward: -9816.414 Time consuming: 39
Epoch: 1160 Reward: -9181.068 Time consuming: 39
Epoch: 1170 Reward: -9463.042 Time consuming: 39
Epoch: 1180 Reward: -9403.126 Time consuming: 38
Epoch: 1190 Reward: -9561.310 Time consuming: 39
Epoch: 1200 Reward: -8928.230 Time consuming: 39
Epoch: 1210 Reward: -10019.197 Time consuming: 39
Epoch: 1220 Reward: -9861.661 Time consuming: 38
Epoch: 1230 Reward: -9231.985 Time consuming: 38
Epoch: 1240 Reward: -9158.267 Time consuming: 39
Epoch: 1250 Reward: -9535.252 Time consuming: 39
Goal, Curr: (0.00, 19.00, -0.50, 0.43)     Error:18.58
Goal, Curr: (0.00, 19.00, -0.04, 0.11)     Error:18.89
Goal, Curr: (0.00, 19.00, 0.07, -0.18)     Error:19.18
Goal, Curr: (0.00, 19.00, -0.19, -0.28)     Error:19.28
Goal, Curr: (0.00, 19.00, -0.48, 1.15)     Error:17.85
Goal, Curr: (0.00, 19.00, 0.11, -0.19)     Error:19.19
Goal, Curr: (0.00, 19.00, 0.16, -0.30)     Error:19.30
Goal, Curr: (0.00, 19.00, -0.60, 0.36)     Error:18.65
Goal, Curr: (0.00, 19.00, -0.03, -0.28)     Error:19.28
Goal, Curr: (0.00, 19.00, -0.56, 0.48)     Error:18.53
episode:01250, mean:-9475.50, std:199.27, median:-9532.72, success:0.00
Epoch: 1260 Reward: -9440.503 Time consuming: 44
Epoch: 1270 Reward: -9479.211 Time consuming: 39
Epoch: 1280 Reward: -9402.470 Time consuming: 38
Epoch: 1290 Reward: -9499.768 Time consuming: 39
Epoch: 1300 Reward: -9415.948 Time consuming: 38
Epoch: 1310 Reward: -9380.113 Time consuming: 39
Epoch: 1320 Reward: -9281.462 Time consuming: 38
Epoch: 1330 Reward: -9445.806 Time consuming: 38
Epoch: 1340 Reward: -9534.867 Time consuming: 39
Epoch: 1350 Reward: -9361.751 Time consuming: 38
Epoch: 1360 Reward: -9348.166 Time consuming: 38
Epoch: 1370 Reward: -9377.845 Time consuming: 38
Epoch: 1380 Reward: -9197.878 Time consuming: 38
Epoch: 1390 Reward: -9376.988 Time consuming: 39
Epoch: 1400 Reward: -9391.380 Time consuming: 38
Epoch: 1410 Reward: -9538.914 Time consuming: 39
Epoch: 1420 Reward: -9653.349 Time consuming: 39
Epoch: 1430 Reward: -8970.446 Time consuming: 39
Epoch: 1440 Reward: -9063.760 Time consuming: 38
Epoch: 1450 Reward: -9212.690 Time consuming: 39
Epoch: 1460 Reward: -9369.439 Time consuming: 38
Epoch: 1470 Reward: -9342.691 Time consuming: 38
Epoch: 1480 Reward: -9580.793 Time consuming: 39
Epoch: 1490 Reward: -9577.425 Time consuming: 39
Epoch: 1500 Reward: -9327.209 Time consuming: 39
Goal, Curr: (0.00, 19.00, -0.03, 0.16)     Error:18.84
Goal, Curr: (0.00, 19.00, 0.17, 0.09)     Error:18.91
Goal, Curr: (0.00, 19.00, -0.03, 0.23)     Error:18.77
Goal, Curr: (0.00, 19.00, -0.10, 0.18)     Error:18.82
Goal, Curr: (0.00, 19.00, -0.32, 1.42)     Error:17.58
Goal, Curr: (0.00, 19.00, -0.01, -0.02)     Error:19.02
Goal, Curr: (0.00, 19.00, 0.01, -0.09)     Error:19.09
Goal, Curr: (0.00, 19.00, 0.07, -0.14)     Error:19.14
Goal, Curr: (0.00, 19.00, -0.12, -0.03)     Error:19.03
Goal, Curr: (0.00, 19.00, 0.26, 0.48)     Error:18.53
episode:01500, mean:-9374.50, std:197.93, median:-9414.78, success:0.00
Epoch: 1510 Reward: -9562.268 Time consuming: 45
Epoch: 1520 Reward: -9723.593 Time consuming: 39
Epoch: 1530 Reward: -9206.102 Time consuming: 38
Epoch: 1540 Reward: -9434.188 Time consuming: 38
Epoch: 1550 Reward: -9638.570 Time consuming: 38
Epoch: 1560 Reward: -9582.208 Time consuming: 39
Epoch: 1570 Reward: -9471.596 Time consuming: 38
Epoch: 1580 Reward: -9641.030 Time consuming: 39
Epoch: 1590 Reward: -9445.727 Time consuming: 38
Epoch: 1600 Reward: -9457.382 Time consuming: 39
Epoch: 1610 Reward: -9093.576 Time consuming: 39
Epoch: 1620 Reward: -9394.612 Time consuming: 39
Epoch: 1630 Reward: -9505.838 Time consuming: 38
Epoch: 1640 Reward: -9323.011 Time consuming: 39
Epoch: 1650 Reward: -9357.571 Time consuming: 39
Epoch: 1660 Reward: -9309.588 Time consuming: 38
Epoch: 1670 Reward: -9545.831 Time consuming: 38
Epoch: 1680 Reward: -9686.978 Time consuming: 38
Epoch: 1690 Reward: -9482.775 Time consuming: 39
Epoch: 1700 Reward: -9444.975 Time consuming: 39
Epoch: 1710 Reward: -9283.091 Time consuming: 38
Epoch: 1720 Reward: -9600.144 Time consuming: 38
Epoch: 1730 Reward: -9022.211 Time consuming: 39
Epoch: 1740 Reward: -9443.039 Time consuming: 39
Epoch: 1750 Reward: -9627.384 Time consuming: 38
Goal, Curr: (0.00, 19.00, 0.37, -0.13)     Error:19.13
Goal, Curr: (0.00, 19.00, 0.29, -0.13)     Error:19.13
Goal, Curr: (0.00, 19.00, 0.34, -0.35)     Error:19.35
Goal, Curr: (0.00, 19.00, 0.23, -0.10)     Error:19.10
Goal, Curr: (0.00, 19.00, 0.60, -0.09)     Error:19.10
Goal, Curr: (0.00, 19.00, 0.20, -0.11)     Error:19.11
Goal, Curr: (0.00, 19.00, 0.23, -0.07)     Error:19.07
Goal, Curr: (0.00, 19.00, 0.26, 0.02)     Error:18.98
Goal, Curr: (0.00, 19.00, 0.42, -0.06)     Error:19.07
Goal, Curr: (0.00, 19.00, 0.39, -0.37)     Error:19.37
episode:01750, mean:-9496.99, std:51.11, median:-9486.95, success:0.00
Epoch: 1760 Reward: -9597.234 Time consuming: 45
Epoch: 1770 Reward: -9676.976 Time consuming: 38
Epoch: 1780 Reward: -9250.416 Time consuming: 39
Epoch: 1790 Reward: -9436.139 Time consuming: 39
Epoch: 1800 Reward: -9458.720 Time consuming: 38
